Date,Open,High,Low,Close,Adj Close,Volume,Clase
2013-01-03,44304.210938,44655.890625,44190.371094,44370.640625,44370.640625,231461200,0
2013-01-04,44374.96875,44611.589844,44277.679688,44562.328125,44562.328125,250730800,0
2013-01-07,44572.671875,44725.769531,44317.210938,44625.929688,44625.929688,181764600,1
2013-01-08,44631.929688,44638.691406,44409.941406,44571.199219,44571.199219,255033400,0
2013-01-09,44576.859375,44863.289063,44570.921875,44862.539063,44862.539063,251507600,0
2013-01-10,44871.871094,45013.648438,44658.71875,44859.800781,44859.800781,247356200,0
2013-01-11,44864.449219,44946.371094,44779.179688,44888.128906,44888.128906,198227800,-1
2013-01-14,44900.121094,45241.738281,44734.890625,44862.921875,44862.921875,207813600,0
2013-01-15,44864.300781,44919.058594,44662.128906,44748.058594,44748.058594,216237800,1
2013-01-16,44751.148438,44927.871094,44703.128906,44865.300781,44865.300781,217858600,0
2013-01-17,44867.839844,45143.679688,44851.21875,44943.339844,44943.339844,203413600,0
2013-01-18,44941.949219,45220.128906,44903.699219,45212.53125,45212.53125,179962000,0
2013-01-21,45239.671875,45281.359375,45130.980469,45223.851563,45223.851563,45313200,0
2013-01-22,45218.109375,45347.660156,45052.679688,45320.300781,45320.300781,223063800,0
2013-01-23,45321.300781,45443.449219,45116.121094,45442.980469,45442.980469,163637800,0
2013-01-24,45453.140625,45547.78125,45285.089844,45428.699219,45428.699219,173884400,0
2013-01-25,45431.78125,45624.601563,45304.109375,45575.859375,45575.859375,146382200,0
2013-01-28,45584.179688,45959.929688,45422.429688,45912.511719,45912.511719,213097200,0
2013-01-29,45912.511719,46075.039063,45669.691406,45907.980469,45907.980469,245427200,-1
2013-01-30,45910.78125,46051.890625,45751.789063,45753.179688,45753.179688,169869600,0
2013-01-31,45732.640625,45811.511719,45270.75,45278.058594,45278.058594,262038800,0
2013-02-01,45278.71875,45775.160156,45278.71875,45768.488281,45768.488281,187792600,0
2013-02-05,45768.820313,45785.960938,45385.421875,45688.121094,45688.121094,266373500,0
2013-02-06,45680.328125,45727.011719,45518.210938,45570.710938,45570.710938,177635600,0
2013-02-07,45571.949219,45574.328125,44815.539063,45019.210938,45019.210938,299712100,0
2013-02-08,45025.199219,45191.71875,44996.148438,45089.359375,45089.359375,180183600,0
2013-02-11,45084.648438,45249.910156,44935.988281,45063.878906,45063.878906,166535700,0
2013-02-12,45076.199219,45079.359375,44852.871094,44873.441406,44873.441406,171110200,0
2013-02-13,44876.539063,44876.539063,44001.519531,44096.269531,44096.269531,494545800,1
2013-02-14,44096.269531,44184.308594,43705.460938,43878.28125,43878.28125,432920000,0
2013-02-15,43878.949219,44219.289063,43816.378906,44152.960938,44152.960938,256174600,0
2013-02-18,44158.289063,44226.441406,44020.089844,44141.921875,44141.921875,42082400,-1
2013-02-19,44146.898438,44783.359375,44146.898438,44639.761719,44639.761719,291076000,0
2013-02-20,44641.089844,44641.089844,44263.199219,44299.558594,44299.558594,273447800,0
2013-02-21,44292.230469,44313.488281,43874.191406,44136.601563,44136.601563,366254800,0
2013-02-22,44135.921875,44145.960938,43769.238281,43875.730469,43875.730469,275683200,0
2013-02-25,43867.46875,43943.308594,43467.160156,43497.199219,43497.199219,230532600,1
2013-02-26,43498.53125,43593.039063,43294.71875,43489.199219,43489.199219,256603600,0
2013-02-27,43490.179688,43782.410156,43465.179688,43772.890625,43772.890625,288684400,0
2013-02-28,43774.890625,44193.988281,43615.339844,44120.988281,44120.988281,353080200,0
2013-03-01,44100.921875,44100.921875,43771.910156,43995.71875,43995.71875,289317400,0
2013-03-04,43995.71875,44019.109375,43715.429688,43871.308594,43871.308594,246771800,0
2013-03-05,43875.96875,44226.070313,43875.96875,44017.121094,44017.121094,361234600,0
2013-03-06,44017.980469,44257.179688,44007.25,44159.648438,44159.648438,304597000,0
2013-03-07,44169.441406,44261.078125,43949.328125,43968.601563,43968.601563,253003400,0
2013-03-08,43978.929688,44323.621094,43802.78125,44322.511719,44322.511719,319998400,-1
2013-03-11,44322.851563,44322.851563,43794.109375,44013.300781,44013.300781,321011000,0
2013-03-12,44019.261719,44019.539063,43731.691406,43965.410156,43965.410156,359055200,0
2013-03-13,43972.75,43976.761719,43274.988281,43278.109375,43278.109375,467366400,0
2013-03-14,43278.109375,43644.210938,43035.03125,43348.519531,43348.519531,454178800,0
2013-03-15,43348.519531,43389.300781,42604.988281,42605.050781,42605.050781,659465400,0
2013-03-19,42632.460938,42885.410156,41881.308594,42060.609375,42060.609375,335554200,1
2013-03-20,42047.269531,42509.851563,41974.851563,42497.96875,42497.96875,387862800,0
2013-03-21,42487.519531,42564.628906,42292.648438,42531.070313,42531.070313,400790800,0
2013-03-22,42560.648438,42726.339844,42454.421875,42686.679688,42686.679688,387736800,0
2013-03-25,42686.019531,42902.769531,42591.46875,42900.828125,42900.828125,291253600,0
2013-03-26,42904.828125,43666.449219,42904.828125,43664.730469,43664.730469,421084400,0
2013-03-27,43665.71875,44087.339844,43408.351563,44077.089844,44077.089844,325048200,0
2013-04-01,44052.261719,44263.359375,43913.121094,43932.519531,43932.519531,160765600,-1
2013-04-02,43932.5,44246.070313,43923.851563,44113.5,44113.5,240602800,0
2013-04-03,44113.578125,44241.449219,43634.199219,43717.570313,43717.570313,254672000,0
2013-04-04,43697.511719,43812.949219,43371.828125,43566.691406,43566.691406,191626600,0
2013-04-05,43564.078125,43587.289063,42955.0,43244.25,43244.25,224572800,1
2013-04-08,43247.589844,43456.371094,43174.308594,43430.988281,43430.988281,261603800,0
2013-04-09,43432.988281,43991.941406,43345.589844,43973.179688,43973.179688,311133000,0
2013-04-10,43979.53125,44466.738281,43979.53125,44380.828125,44380.828125,291611200,-1
2013-04-11,44400.441406,44422.660156,44178.519531,44408.429688,44408.429688,278139600,0
2013-04-12,44401.210938,44401.210938,43860.070313,44004.269531,44004.269531,194226400,0
2013-04-15,43987.519531,44034.230469,42983.648438,42984.378906,42984.378906,272928800,0
2013-04-16,43006.199219,43311.398438,43006.199219,43223.691406,43223.691406,222348600,0
2013-04-17,43232.25,43232.25,42418.839844,42610.910156,42610.910156,365442600,1
2013-04-18,42610.988281,42615.5,42162.941406,42460.210938,42460.210938,277203000,0
2013-04-19,42460.210938,42811.910156,42289.949219,42808.171875,42808.171875,350494000,0
