"fechaSen","fechaEjec","accion","precioEjec","regla"
"2014-03-19","2014-03-20","Compra",39254.73194361,"IF Comm.Chan.20.0.015 is (-26.3,38] and Adj.Close.RSI.14 is (43.6,50.7] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2014-03-21","2014-03-24","Venta por banda superior",39973.4311964138,"IF Williams.R.14 is (-12.6, Inf] and Adj.Close.RSI.14 is (67.5, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-03-26","2014-03-27","Compra",39938.0003077425,"IF Dif.Aroon.25 is (-14,48] and Williams.R.14 is (-31.4,-12.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-03-31","2014-04-01","Venta por banda superior",40438.94028846,"IF Williams.R.14 is (-12.6, Inf] and Adj.Close.RSI.14 is (67.5, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-04-03","2014-04-04","Compra",40956.8477148437,"IF Dif.Aroon.25 is (-14,48] and Williams.R.14 is (-31.4,-12.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-04-23","2014-04-24","Venta por banda inferior",40196.3568604763,"IF Williams.R.14 is (-77.4,-61.4] and MFI.14 is (43.2,47.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2014-05-05","2014-05-06","Compra",41356.6748680387,"IF MFI.14 is (47.9,53.2] and Dif.Aroon.25 is (48, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2014-05-07","2014-05-08","Venta por banda superior",41738.4470507813,"IF Williams.R.14 is (-12.6, Inf] and Adj.Close.RSI.14 is (67.5, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-05-08","2014-05-09","Compra",41758.8418411962,"IF Dif.Aroon.25 is (-14,48] and Williams.R.14 is (-31.4,-12.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-05-12","2014-05-13","Venta por banda superior",42104.0911964138,"IF Williams.R.14 is (-12.6, Inf] and Adj.Close.RSI.14 is (67.5, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-05-14","2014-05-15","Compra",41970.5240234375,"IF Dif.Aroon.25 is (-14,48] and Williams.R.14 is (-31.4,-12.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-06-06","2014-06-09","Venta por banda superior",42845.3330563913,"IF Williams.R.14 is (-12.6, Inf] and Adj.Close.RSI.14 is (67.5, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-06-11","2014-06-12","Compra",42891.1655911963,"IF Dif.Aroon.25 is (-14,48] and Williams.R.14 is (-31.4,-12.6] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-07-02","2014-07-03","Venta por banda superior",43366.3066551487,"IF Williams.R.14 is (-12.6, Inf] and Adj.Close.RSI.14 is (67.5, Inf] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-07-04","2014-07-07","Compra",43678.5040286963,"IF MFI.14 is (47.9,53.2] and Dif.Aroon.25 is (48, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2014-07-07","2014-07-08","Venta por banda inferior",43213.227421875,"IF Williams.R.14 is (-31.4,-12.6] and MFI.14 is (43.2,47.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2014-07-11","2014-07-14","Compra",43847.3058398437,"IF MFI.14 is (47.9,53.2] and Dif.Aroon.25 is (48, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2014-07-23","2014-07-24","Venta por banda superior",44271.7190920463,"IF Williams.R.14 is (-31.4,-12.6] and MFI.14 is (43.2,47.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
